cohort,task,scene,method,success,role,snapshots
old212,199,eval-moderate-022,ours,True,primary,3
old212,200,eval-moderate-022,generic,False,primary,3
old212,201,eval-moderate-003,generic,True,primary,2
old212,202,eval-moderate-003,ours,True,primary,2
old212,203,eval-easy-020,ours,True,primary,3
old212,204,eval-easy-020,generic,True,primary,2
old212,205,eval-hard-011,generic,True,primary,3
old212,206,eval-hard-011,ours,False,primary,3
old212,207,eval-easy-012,generic,False,primary,0
old212,208,eval-easy-012,ours,True,primary,3
old212,209,eval-easy-011,ours,True,primary,3
old212,210,eval-easy-011,generic,True,primary,2
old212,211,eval-hard-022,ours,True,primary,3
old212,212,eval-hard-022,generic,False,primary,3
online_v1,slot-01-easy003-ours,eval-easy-003,ours,True,development,2
online_v1,slot-02-easy003-confirmation,eval-easy-003,confirmation,True,development,3
online_v1,slot-03-moderate009-confirmation,eval-moderate-009,confirmation,True,development,2
online_v1,slot-04-moderate009-ours,eval-moderate-009,ours,True,development,2
online_v1,slot-05-hard015-ours,eval-hard-015,ours,False,development,3
online_v1,slot-06-hard015-confirmation,eval-hard-015,confirmation,False,development,3
online_v1,slot-07-hard023-confirmation,eval-hard-023,confirmation,False,development,3
online_v1,slot-08-hard023-ours,eval-hard-023,ours,False,development,3
