slot,scene,seed,method,tier,status,retrieval_success,selected_attempt,invalid_activation_count,D_env_applicable,first_discovery_window,D_env,D_exec,C_env_count_final,C_env_count_max,T_first_env_sim,T_active_sim,T_task_sim,T_exec_ready_sim,metrics_terminal_status,failure_stage,failure_reason,capture_calls,discarded_windows,completed_windows,voted_windows,sensing_visits,sensing_rescans,nbv_moves,initial_outbound,return_actions,uav_active_distance_m,uav_active_complete,uav_active_missing_samples,uav_active_gap_count,uav_active_observed_distance_lower_bound_m,uav_total_distance_m,uav_total_complete,uav_total_missing_samples,uav_total_gap_count,uav_total_observed_distance_lower_bound_m,ground_total_distance_m,ground_total_complete,ground_total_missing_samples,ground_total_gap_count,ground_total_observed_distance_lower_bound_m,stage_preflight_status,stage_preflight_duration_sim_s,stage_takeoff_status,stage_takeoff_duration_sim_s,stage_initial_view_status,stage_initial_view_duration_sim_s,stage_aerial_observe_status,stage_aerial_observe_duration_sim_s,stage_initial_query_status,stage_initial_query_duration_sim_s,stage_active_status,stage_active_duration_sim_s,stage_return_status,stage_return_duration_sim_s,stage_landing_status,stage_landing_duration_sim_s,stage_ground_navigation_status,stage_ground_navigation_duration_sim_s,stage_ground_refine_status,stage_ground_refine_duration_sim_s,stage_refined_pregrasp_status,stage_refined_pregrasp_duration_sim_s,stage_descend_status,stage_descend_duration_sim_s,stage_close_status,stage_close_duration_sim_s,stage_lift_status,stage_lift_duration_sim_s,stage_retention_status,stage_retention_duration_sim_s
318,hard-023,353762560,generic,hard,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,hard-023,353762560,ours,hard,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,hard-023,353762560,fixed,hard,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,hard-023,353762560,no_occlusion,hard,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,hard-023,353762560,no_cost,hard,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,easy-024,1126888517,generic,easy,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,easy-024,1126888517,ours,easy,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,easy-024,1126888517,rm4d_only,easy,NOT_RUN,,,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,easy-024,1126888517,fixed,easy,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,hard-024,1095407513,ours,hard,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,hard-024,1095407513,fixed,hard,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,hard-024,1095407513,rm4d_only,hard,NOT_RUN,,,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,hard-024,1095407513,generic,hard,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,hard-024,1095407513,no_cost,hard,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,hard-024,1095407513,no_occlusion,hard,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,moderate-024,907623950,fixed,moderate,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,moderate-024,907623950,generic,moderate,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,moderate-024,907623950,ours,moderate,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,moderate-024,907623950,rm4d_only,moderate,NOT_RUN,,,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,hard-025,2091101838,generic,hard,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,hard-025,2091101838,rm4d_only,hard,NOT_RUN,,,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,hard-025,2091101838,ours,hard,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,hard-025,2091101838,fixed,hard,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,hard-025,2091101838,no_occlusion,hard,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,hard-025,2091101838,no_cost,hard,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,easy-025,810609070,fixed,easy,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,easy-025,810609070,rm4d_only,easy,NOT_RUN,,,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,easy-025,810609070,generic,easy,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,easy-025,810609070,ours,easy,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,moderate-025,333307778,generic,moderate,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,moderate-025,333307778,ours,moderate,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,moderate-025,333307778,rm4d_only,moderate,NOT_RUN,,,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,moderate-025,333307778,fixed,moderate,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,easy-026,1562111236,ours,easy,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,easy-026,1562111236,fixed,easy,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,easy-026,1562111236,rm4d_only,easy,NOT_RUN,,,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,easy-026,1562111236,generic,easy,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,moderate-026,1248115148,rm4d_only,moderate,NOT_RUN,,,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,moderate-026,1248115148,fixed,moderate,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,moderate-026,1248115148,generic,moderate,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,moderate-026,1248115148,ours,moderate,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,hard-026,771670306,fixed,hard,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,hard-026,771670306,generic,hard,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,hard-026,771670306,rm4d_only,hard,NOT_RUN,,,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,hard-026,771670306,ours,hard,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,hard-026,771670306,no_cost,hard,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,hard-026,771670306,no_occlusion,hard,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,easy-027,163216851,rm4d_only,easy,NOT_RUN,,,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,easy-027,163216851,generic,easy,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,easy-027,163216851,ours,easy,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
